date,title,subtitle,claps,responses,story_url
01/01/2019,How to set up a React project from scratch,"Despite the popularity of the React, setting up the…",354,3,https://medium.com/swlh/how-to-set-up-a-react-project-from-scratch-78261a9c2bbb?source=collection_archive---------0-----------------------
01/01/2019,6 Ways to Reduce Your Plastic Use,-,835,9,https://medium.com/swlh/6-ways-to-reduce-your-plastic-use-509e8ba90a00?source=collection_archive---------1-----------------------
01/01/2019,My crypto crystal ball: 7 predictions for Blockchain adoption in 2019,-,313,1,https://medium.com/swlh/my-crypto-crystal-ball-7-predictions-for-blockchain-adoption-in-2019-16f0977ab90f?source=collection_archive---------2-----------------------
01/01/2019,How to Face Failures and Feel Confident Before Becoming Successful,-,418,1,https://medium.com/swlh/how-to-face-failures-and-feel-confident-before-becoming-successful-1d3f9407232e?source=collection_archive---------3-----------------------
01/01/2019,Top 10 hacks to identify best cryptocurrency exchange before you start trading cryptocurrency,-,217,1,https://medium.com/swlh/top-10-hacks-to-identify-best-cryptocurrency-exchange-before-you-start-trading-cryptocurrency-4870f87a0404?source=collection_archive---------4-----------------------
01/02/2019,16 Things Java Developer Should Learn in 2024,Want to start the year off right? Here is a range of…,1.4K,14,https://medium.com/swlh/10-things-java-developer-should-learn-in-2019-5e0cf388e07f?source=collection_archive---------0-----------------------
01/02/2019,-,6 months later: Return to India after 15yrs in the US,730,25,https://medium.com/swlh/6-months-later-return-to-india-after-15yrs-in-the-us-c33b76f95c47?source=collection_archive---------1-----------------------
01/02/2019,32 Examples of Strange and Successful Online Businesses,Interesting case studies that prove you can…,196,4,https://medium.com/swlh/32-examples-of-strange-and-successful-online-businesses-868817940fd8?source=collection_archive---------2-----------------------
01/02/2019,Expand Your Emotional Vocabulary With This Dictionary Of Emotions,-,122,2,https://medium.com/swlh/expand-your-emotional-vocabulary-with-this-dictionary-of-emotions-ae18e1a33239?source=collection_archive---------3-----------------------
01/02/2019,Why you should stop listening when they say success is 50% luck,-,3.1K,15,https://medium.com/swlh/why-you-should-stop-listening-when-they-say-success-is-50-luck-f1dca1f87570?source=collection_archive---------4-----------------------
01/02/2019,How to see Systems in everyday life,Leveraging feedback loops to solve almost any problem,1.3K,3,https://medium.com/swlh/how-to-see-systems-in-everyday-life-e780304f3d61?source=collection_archive---------5-----------------------
01/02/2019,Why Job Titles Get in the Way of Growth,"They promote division, not collaboration.",918,10,https://medium.com/swlh/why-job-titles-get-in-the-way-of-growth-eaf220899b18?source=collection_archive---------6-----------------------
01/02/2019,10 Painful Lessons I Learned In 2018 That Made Me A Better Person,-,2.3K,26,https://medium.com/swlh/10-painful-lessons-i-learned-in-2018-that-made-me-a-better-person-19522ac9f074?source=collection_archive---------7-----------------------
01/02/2019,A Startup for Chickens,-,552,8,https://medium.com/swlh/a-startup-for-chickens-24d4affe245d?source=collection_archive---------8-----------------------
01/02/2019,A Fun Parable About Leprechauns and Information Manipulation,-,275,0,https://medium.com/swlh/a-fun-parable-about-leprechauns-and-information-manipulation-8ffea5a544c8?source=collection_archive---------9-----------------------
01/02/2019,The 10 Most Significant Tech Acquisitions of 2018,-,67,0,https://medium.com/swlh/the-10-most-significant-tech-acquisitions-of-2018-6823363b1c00?source=collection_archive---------10-----------------------
01/02/2019,The VC-Backed Startup Solving Education,-,90,0,https://medium.com/swlh/the-vc-backed-startup-solving-education-17da5cf5201f?source=collection_archive---------11-----------------------
01/02/2019,The Best PR Lessons I Learned in 2018,-,0,0,N/A
01/02/2019,Smart Blockchain; The rescue of Bitcoin and saving electricity more than 50TWh per year,-,201,0,https://medium.com/swlh/smart-blockchain-the-rescue-of-bitcoin-and-saving-electricity-more-than-50twh-per-year-c17606976fce?source=collection_archive---------13-----------------------
01/02/2019,"You Can’t Take a Class, or Read a Book, or Watch a YouTube Video to Truly Learn How to Sell.",-,194,1,https://medium.com/swlh/you-cant-take-a-class-or-read-a-book-or-watch-a-youtube-video-to-truly-learn-how-to-sell-578b183cecf0?source=collection_archive---------14-----------------------
01/02/2019,I Received The Best Gift Medium Could Ever Give a Writer,-,1.8K,16,https://medium.com/swlh/i-received-the-best-gift-medium-could-ever-give-a-writer-bddd2d5e1099?source=collection_archive---------15-----------------------
01/02/2019,6 ways online corporate LMS proves to be an essential tool for employee training and business performance…,-,133,1,https://medium.com/swlh/6-ways-online-corporate-lms-proves-to-be-an-essential-tool-for-employee-training-and-business-b40e6adafab8?source=collection_archive---------16-----------------------
01/02/2019,The 1 Key Trait You Need To Become A Great Salesperson,-,156,0,https://medium.com/swlh/the-1-key-trait-you-need-to-become-a-great-salesperson-19d96110a086?source=collection_archive---------17-----------------------
01/02/2019,Your Colleagues: The #1 Factor in Happiness at Work,-,357,1,https://medium.com/swlh/your-colleagues-the-1-factor-in-happiness-at-work-c05e97f47e52?source=collection_archive---------18-----------------------
